SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
130,KKR/TS/130,ORISON,OK,,BX/01,09/08/2022,22/10/2022,,,,,,
,,,MANISH,12/01/2023,D/02,06/02/2023,02/05/2023,,,,,,
,,,,,MV/21,03/05/2023,15/11/2023,,,,,,
,,,MANISH,16/11/2023,B/157,18/11/2023,,,,,,,
,,,NEERAJ ,22/04/2024,,,,?,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
131,KKR/TS/131,ORISON,MANISH,28/09/2022,MJ/19,02/10/2022,08/12/2022,,,,,,
,,,,,MH/12,11/12/2023,,?,,,,,
,,,MADAN JHA,25/10/2023,,,,,,,,,
,,,MANISH,24/10/2024,,,,,,,,,
,,,,,,,,,,,,,
132,KKR/TS/132,ORTEM,OK,,B/124,10/05/2022,,,,,,,
133,KKR/TS/133,KHAITAN,,28/08/2022,D/08,15/10/2022,,,,,,,
,,,,,C/43,26/03/2023,,,,,,,
134,KKR/TS/134,ORIENT,,,,,,NA,,,,,
135,KKR/TS/135,GEC GOLDLINE,MADAN JHA,28/09/2022,B/304,05/10/2022,10/03/2023,,,,,,
,,,,,,,,,,,,,
136,KKR/TS/136,GEC GOLDLINE,,,,,,NA,,,,,
137,KKR/TS/137,GANESH,,,B/220,07/04/2022,,,,,,,
138,KKR/TS/138,PRESIDENT ,,,,,,NA,,,,,
139,KKR/TS/139,GANESH,,,,,,NA,,,,,
140,KKR/TS/140,V GAURD,,,,,,NA,,,,,
141,KKR/TS/141,V GAURD,MADAN JHA,28/09/2022,C/41,28/08/2022,14/10/2022,U/G failure ?,,,,,
142,KKR/TS/142,SUMMER COOL,,,,,,NA,,,,,
143,KKR/TS/143,GEC GOLDLINE,,,,,,NA,,,,,
144,KKR/TS/144,SUMMER COOL,,,,,,NA,,,,,
145,KKR/TS/145,GANESH,,,,,,NA,,,,,
146,KKR/TS/146,GANESH,,,B/137,20/10/2022,,,,,,,
147,KKR/TS/147,ORIENT,,,,,,NA,,,,,
148,KKR/TS/148,ORIENT,MADAN JHA,05/09/2022,,,,,,,,,
,,,,,ML/39,20/03/2023,,,,,,,
149,KKR/TS/149,USHA,,21/08/2022,C/02,21/08/2022,,,,,,,
150,KKR/TS/150,BAJAJ,,06/08/2022,B/88,08/08/2022,10/10/2023,,,,,,
,,,MANISH,10/10/2023,,,,,,,,,
151,KKR/TS/151,ZOLTA,,,,,,NA,,,,,
152,KKR/TS/152,ZOLTA,,,,,,NA,,,,,
153,KKR/TS/153,ZOLTA,MADAN JHA,16/08/2022,MC/39,18/08/2022,01/09/2022,,,,,,
,,,MANISH,08/08/2023,,,,,,,,,
154,KKR/TS/154,GANESH,MADAN JHA,05/09/2022,,,,,,,,,
,,,,,B/206,08/09/2022,,,,,,,
,,,,,MI/18,25/05/2023,,?,,,,,
155,KKR/TS/155,USHA,,21/08/2022,,,,,,,,,
,,,MANISH,05/09/2023,B/231,07/09/2023,,,,,,,
156,KKR/TS/156,BAJAJ,,,,,,NA,,,,,
157,KKR/TS/157,ORISON,,,,,,,,,,,
,,,,,KALI/M,18/08/2022,14/09/2023,,,,,,
,,,MANISH,09/10/2023,MC/27,26/01/2024,,,,,,,
158,KKR/TS/158,GEC GOLDLINE,,21/08/2022,B/242,22/08/2022,02/07/2023,,,,,,
,,,,,,,,,,,,,
159,KKR/TS/159,ORISON,,09/08/2022,MI/09,10/08/2022,,,,,,,
160,KKR/TS/160,GANESH,,,,,,NA,,,,,
161,KKR/TS/161,ORIENT,,,,,,,,,,,
,,,,,C/37,18/06/2022,01/09/2022,,,,,,
,,,MANISH,04/05/2023,,,,,,,,,
162,KKR/TS/162,GEC GOLDLINE,,28/08/2022,MI/11,12/10/2022,04/11/2022,,,,,,
,,,,,MG/09,17/11/2022,11/10/2023,,,,,,
163,KKR/TS/163,CROMPTON,,21/08/2022,B/182,25/08/2022,,,,,,,
164,KKR/TS/164,GEC GOLDLINE,246,16/08/2022,B/87,18/08/2022,26/05/2023,,,,,,
,,,,,,,,,,,,,
165,KKR/TS/165,JAI -WHITE,,,,,,NA,,,,,
166,KKR/TS/166,GANESH,,21/08/2022,C/24,25/08/2022,,,,,,,
167,KKR/TS/167,ORISON ,MANISH,06/08/2022,C/42,06/08/2022,25/06/2023,,,,,,
,,,MANISH,25/06/2023,MU/11,25/062023,,,,,,,
,,,MANISH,05/09/2023,,,,,,,,,
168,KKR/TS/168,ORISON ,,06/08/2022,B/53,20/10/2022,,,,,,,
,,,MANISH,20/10/2022,,,,,,,,,
,,,MANISH,06/12/2023,,,,,,,,,
169,KKR/TS/169,ORISON ,,16/08/2022,CHP,17/08/2022,,,,,,,
170,KKR/TS/170,USHA,,06/08/2022,,,,,,,,,
,,ORISON ,,,B/224,12/08/2022,,,,,,,
171,KKR/TS/171,ORIENT ,,21/08/2022,B/231,22/08/2022,,,,,,,
172,KKR/TS/172,ORIENT ,,,,,,,,,,,
173,KKR/TS/173,USHA,,09/08/2022,MD/28,09/08/2022,01/06/2023,,,,,,
,,,MANISH,29/09/2023,B/118,22/03/2024,,,,,,,
174,KKR/TS/174,USHA,,16/08/2022,,,,,,,,,
,,,MANISH,13/03/2023,B/304,21/03/2023,,,,,,,
175,KKR/TS/175,ORIENT ,,,,,,NA,,,,,
,,,,,,,,,,,,,
176,KKR/TS/176,ORISON ,MANISH,,MH/28,09/08/2022,11/06/2023,,,,,,
,,,MANISH,14/06/2023,,,,,,,,,
,,,,06/12/2023,,,,,,,,,
177,KKR/TS/177,ORISON ,,09/08/2022,MU/08,10/08/2022,,,,,,,
178,KKR/TS/178,ORIENT ,,21/08/2022,MJ/22,11/10/2022,,,,,,,
,,CROMPTON,,,,,,,,,,,
,,,MANISH,10/10/2022,,,,,,,,,
179,KKR/TS/179,ORISON ,,09/08/2022,MI/09,10/08/2022,,,,,,,
180,KKR/TS/180,USHA,,,MH/28,17/08/2022,22/04/2023,,,,,,
,,,PAWAN ,11/03/2024,,,,,,,,,
181,KKR/TS/181,ORISON ,,,MG/40,22/09/2022,,,,,,,
182,KKR/TS/182,USHA,,06/09/2022,B/163,06/09/2022,07/09/2022,,,,,,
,,,,,B/285,14/09/2022,,,,,,,
183,KKR/TS/183,ORISON ,MANISH,06/09/2022,B/160,06/09/2022,30/06/2023,,,,,,
,,,MANISH,04/12/2023,,,,,,,,,
184,KKR/TS/184,ORISON ,MADAN JHA,20/10/2022,B/116,21/10/2022,,,,,,,
,,,,,,,,,,,,,
,,USHA,,,B/156,23/10/2023,,,,,,,
185,KKR/TS/185,ORISON ,MADAN JHA,20/10/2022,MC/34,23/10/2022,,,,,,,
,,,,22/04/2024,,,,?,,,,,
186,KKR/TS/186,ORISON ,coil cut,,,,,,,,,,
,,,MANISH,04/12/2022,GMO,,,NA,,,,,
187,KKR/TS/187,ORISON ,MADAN JHA,20/10/2022,B/172,20/10/2022,05/05/2023,BRG REPLACED BY MANISH 06/05/2023,,,,,
,,,MANISH,06/05/2023,,,,,,,,,
188,KKR/TS/188,ORISON ,MADAN JHA,20/10/2022,MV/23,23/10/2022,,,,,,,
,,,NEERAJ PAWAN,24/02/2024,,,,?,,,,,
189,KKR/TS/189,ORISON ,coil cut,,,,,FAILED,,,,,
,,,MANISH,24/11/2022,B/146,28/11/2022,13/12/2022,,,,,,
,,,NEERAJ PAWAN,12/05/2024,MD/27,16/05/2024,,,,,,,
