SN,FAN NO,MAKE,REPAIRED BY ,REPAIRED DT,INSTALLED ,DATE OF,,REMARKS  IF ANY,DATE OF,REPAIRED BY,DATE OF,DATE OF,DATE OF
,,,,,AT,INSTALLED,FAILURE ,,FAILURE ,,REWINDING,FAILURE ,REWINDING
675,KKR/TS/675,BAJAJ ,,,MB/14,03/07/2022,,,,,,,
676,KKR/TS/676,BAJAJ ,,,B/262,14/07/2022,,3,,,,,
677,KKR/TS/677,GANESH ,,,B/294,13/07/2022,,,,,,,
678,KKR/TS/678,GANESH ,,,C/34,30/06/2022,,,,,,,
679,KKR/TS/679,GANESH ,,,MV/33,14/07/2022,,,,,,,
680,KKR/TS/680,ORIENT PSPO,,,,,,,,,,,
,,,MANISH,10/10/2023,,,,NA,,,,,
,,ORISON,,,MI/10,04/08/2022,15/09/2023,,,,,,
681,KKR/TS/681,ZOLTA,,,B/182,20/07/2022,04/08/2022,,,,,,
,,,MANISH,10/12/2023,,,,,,,,,
682,KKR/TS/682,BAJAJ,MANISH,11/09/2023,MI/10,15/09/2023,,,,,,,
683,KKR/TS/683,ORISON ,MANISH,01/08/2023,B/242,04/08/2022,02/04/2023,,,,,,
,,,,,MQ/29,12/08/2023,,,,,,,
684,KKR/TS/684,ORISON ,,,MG/36,24/07/2022,,,,,,,
685,KKR/TS/685,ORISON ,,,B/113,24/07/2022,,,,,,,
686,KKR/TS/686,BAJAJ,MANISH,30/05/2023,,,,NA,,,,,
687,KKR/TS/687,ORISON ,MANISH,20/11/2023,B/263,26/07/2022,20/11/2023,,,,,,
688,KKR/TS/688,ORIENT ,,,,,,,,,,,
,,BAJAJ,,,C/40,26/07/2022,,,,,,,
689,KKR/TS/689,ORTEM,MADAN JHA,21/03/2023,,,,,,,,,
,,,MANISH,03/04/2023,ML/37,29/07/2022,02/02/2023,,,,,,
,,,,,MG/33,22/07/2023,,,,,,,
690,KKR/TS/690,GEC,,,MJ/11,29/07/2022,20/08/2023,,,,,,
691,KKR/TS/691,ORIENT BROWN,,,MC/16,09/08/2022,,,,,,,
692,KKR/TS/692,ORTEM,,,MD/28,09/08/2022,16/08/2022,,,,,,
,,,,,MJ/18,30/01/2023,,,,,,,
693,KKR/TS/693,ORISON ,MANISH,,ML/38,03/08/2022,15/08/2023,,,,,,
,,,,,MW/21,15/11/2023,,,,,,,
694,KKR/TS/694,ORISON,MANISH,25/05/2023,,,,NA,,,,,
,,BAJAJ,,,C/36,02/08/2022,18/05/2023,,,,,,
,,,,,B/96,30/05/2023,05/09/2023,,,,,,
,,,,,MH/40,10/09/2023,12/05/2024,,,,,,
695,KKR/TS/695,GANESH ,,,ML/38,29/08/2022,,,,,,,
696,KKR/TS/696,BAJAJ,,,C/35,02/08/2022,,,,,,,
697,KKR/TS/697,BAJAJ,,,C/36,02/08/2022,,,,,,,
698,KKR/TS/698,BAJAJ,,,C/35,02/08/2022,13/09/2022,,,,,,
,,,MANISH,13/09/2022,B/97,01/03/2023,10/7/2023,,,,,,
,,,MANISH,07/10/2023,,,,,,,,,
,,,,,,,,,,,,,
699,KKR/TS/699,BAJAJ,MANISH,24/10/2024,B/272,22/02/2024,,,,,,,
,,USHA,,,B/290,04/08/2022,15/08/2023,,,,,,
700,KKR/TS/700,ORISON,,,C/48,04/08/2022,,,,,,,
701,KKR/TS/701,ORISON ,,,B/93,09/08/2022,,,,,,,
702,KKR/TS/702,USHA,MANISH,18/08/2023,C/41,16/08/2022,,?,,,,,
,,,,,MG/38,20/08/2023,,,,,,,
703,KKR/TS/703,ORISON ,,,,,,NA,,,,,
704,KKR/TS/704,ORISON ,,,MG/08,09/08/2022,,,,,,,
705,KKR/TS/705,KHAITAN,,,,,,NA,,,,,
706,KKR/TS/706,ANCHOR ,,,MH/35,10/08/2022,14/12/2023,,,,,,
,,,MANISH,22/12/2023,,,,,,,,,
707,KKR/TS/707,BAJAJ B/COLOUR,,,MJ/12,18/09/2022,,,,,,,
708,KKR/TS/708,BAJAJ,MANISH,07/12/2023,B/86,10/08/2022,26/07/2023,,,,,,
709,KKR/TS/709,ORISON ,,,D/09,10/08/2022,,,,,,,
710,KKR/TS/710,BAJAJ,,,B/87,10/08/2022,18/08/2022,,,,,,
711,KKR/TS/711,ORIENT,MANISH,23/06/2023,MB/14,13/08/2022,30/05/2023,,,,,,
,,,MANISH,23/06/2023,ML/23,22/07/2023,,,,,,,
712,KKR/TS/712,GEC GOLDLINE ,,,B/136,11/08/2022,09/02/2023,burnt 09/02/2023,,,,,
,,,MADAN JHA,21/03/2023,,,,,,,,,
,,,MANISH,02/04/2023,MC/22,22/05/2023,,,,,,,
713,KKR/TS/713,USHA,,,MB/20,11/08/2022,09/06/2023,,,,,,
,,,COIL CUT,09-06/2023,,,,,,,,,
,,,MANISH,29/09/2023,B/134,3/10/2023,,,,,,,
,,,,,,,,,,,,,
714,KKR/TS/714,ORISON ,,,KALI MANDIR,16/08/2022,,?,,,,,
,,,MANISH,15/08/2022,B/154,18/08/2022,,,,,,,
715,KKR/TS/715,USHA,MANISH,15/08/2022,B/235,16/08/2022,06/07/2023,,,,,,
,,,MANISH,09/12/2023,MH/12,10/12/2023,,,,,,,
716,KKR/TS/716,BAJAJ ,MANISH,15/08/2022,B/127,16/08/2022,,,,,,,
717,KKR/TS/717,ORIENT ,,,MP/36,17/08/2022,,,,,,,
718,KKR/TS/718,USHA,,,B/279,22/11/2022,,,,,,,
719,KKR/TS/719,ZOLTA,,,MC/36,17/08/2022,,,,,,,
720,KKR/TS/720,GANESH ,,,B/163,07/09/2022,,,,,,,
721,KKR/TS/721,ORISON ,,,MN/22,21/08/2023,,,,,,,
722,KKR/TS/722,BAJAJ ,,,B/223,28/08/2022,18/04/2023,,,,,,
,,,MANISH,25/04/2023,MW/21,25/04/2023,,,,,,,
,,,,,,,,,,,,,
,,,MANISH,21/04/2023,,,,,,,,,
723,KKR/TS/723,ORISON ,MANISH,26/08/2022,B/206,26/08/2022,,,,,,,
724,KKR/TS/724,ORISON ,MANISH,26/08/2022,D/05,29/08/2022,,,,,,,
725,KKR/TS/725,ORISON ,MANISH,26/08/2022,B/206,26/08/2022,27/08/2022,,,,,,
,,,,,MW/29,29/08/2022,,,,,,,
726,KKR/TS/726,BAJAJ ,MANISH,29/08/2022,B/223,29/08/2022,,,,,,,
727,KKR/TS/727,USHA ,,,MJ/07,30/08/2022,,,,,,,
728,KKR/TS/728,ORISON ,,,MC/39,31/08/2022,22/03/2024,,,,,,
729,KKR/TS/729,ORISON ,,,C/37,31/08/2022,,,,,,,
730,KKR/TS/730,BAJAJ ,,,B/274,31/08/2022,,,,,,,
731,KKR/TS/731,BERLIA ,,,C/50,31/08/2022,,,,,,,
732,KKR/TS/732,ORISON ,,,MI/04,31/08/2022,,,,,,,
733,KKR/TS/733,BAJAJ ,,,PA/SOP/GMO,03/09/2022,NA,,,,,,
,,,,,MF/06,27/03/2024,,,,,,,
734,KKR/TS/734,USHA,MANISH,19/10/2023,C/42,05/09/2022,13/10/2022,,,,,,
,,,,,B/160,22/03/2024,,,,,,,
,,ORISON,,,B/287,14/09/2022,,,,,,,
735,KKR/TS/735,ORISON ,MANISH,03/09/2022,B/89,03/09/2022,16/09/2022,,,,,,
,,,MANISH,16/09/2022,MG/15,18/09/2022,25/09/2022,,,,,,
,,,MANISH,28/09/2022,,,,,,,,,
736,KKR/TS/736,USHA,,,C/31,04/09/2022,,,,,,,
737,KKR/TS/737,GANESH ,,,B/194,14/12/2021,04/09/2022,,,,,,
,,,MADAN JHA,02/12/2022,B/194,04/09/2022,17/10/2022,,,,02/12/2022,,
,,,,,MH/27,13/05/2023,,,,,,,
738,KKR/TS/738,BAJAJ ,,,MA/03,04/09/2022,,,,,,,
739,KKR/TS/739,BAJAJ ,,,B/303,04/09/2022,,,,,,,
740,KKR/TS/740,ORISON ,,,MB/37,04/09/2022,,,,,,,
741,KKR/TS/741,ORISON ,MANISH,04/09/2022,B/92,05/09/2022,02/09/2023,,,,,,
,,,MANISH,07/10/2023,MB/17,09/10/2023,,,,,,,
742,KKR/TS/742,USHA,,,POST OFFICE ,05/09/2022,05/10/2023,,,,,,
,,,MANISH,16/11/2023,,,,,,,,,
743,KKR/TS/743,USHA,,,B/193,06/09/2022,,,,,,,
744,KKR/TS/744,ORIENT ,,,MP/40,08/09/2022,,,,,,,
745,KKR/TS/745,GANESH ,,,,,,NA,,,,,
746,KKR/TS/746,ORIENT ,,,,,,NA,,,,,
747,KKR/TS/747,ORISON ,MADAN JHA,21/03/2023,MI/31,11/09/2022,,,,,,,
,,,,,,,,,,,,,
,,ORIENT (B),PAWAN,17/10/2023,B/45,08/09/2022,28/09/2022,,,,,,
,,,MANISH,03/04/2023,MG/26,27/07/2023,16/10/2023,,,,,,
748,KKR/TS/748,BAJAJ ,MANISH,11/09/2022,B/100,09/09/2022,28/11/2022,,,,,,
,,,,,B/105,28/11/2022,,,,,,,
,,BAJAJ ,,,MV/33,15/03/2024,,,,,,,
749,KKR/TS/749,BAJAJ ,MADAN JHA,20/10/2022,,,,,,,,,
,,,,,MX/05,24/01/2023,15/03/2024,,,,,,
750,KKR/TS/750,ORISON ,,,TS/EM,19/09/2022,,NA,,,,,
,,,MANISH,19/10/2022,,,,,,,,,
751,KKR/TS/751,ORISON ,MANISH,13/09/2022,C/51,14/09/2022,,,,,,,
,,,,,MD/14,01/10/2023,20/02/2024,,,,,,
,,,,,C/10,26/08/2022,23/09/2023,,,,,,
,,,,,B/278,19/03/2024,,,,,,,
752,KKR/TS/752,ORISON ,MANISH,13/09/2022,,,,,,,,,
,,,MANISH,20/09/2022,,,,NA,,,,,
753,KKR/TS/753,ORISON ,,,C/35,13/09/2022,,,,,,,
,,ORISON ,,,B/248,22/03/2024,,NA,,,,,
754,KKR/TS/754,ORISON ,MANISH,13/09/2022,,,,NA,,,,,
755,KKR/TS/755,GEC,,,,,,NA,,,,,
756,KKR/TS/756,USHA,,,,,,NA,,,,,
757,KKR/TS/757,USHA,RAHUL,01/04/2024,,,,ALUMINUM WINDING CUT/      NA,,,,,
758,KKR/TS/758,BAJAJ ,MANISH,08/08/2023,MD/27,19/09/2022,09/08/2023,,,,,,
,,,,,B/100,09/08/2023,,,,,,,
759,KKR/TS/759,ORISON ,MANISH,20/09/2022,,,,NA,,,,,
760,KKR/TS/760,ORISON ,MANISH,20/09/2022,,,,NA,,,,,
761,KKR/TS/761,ORISON ,MANISH,19/09/2022,,,,NA,,,,,
762,KKR/TS/762,ORISON ,MANISH,19/09/2022,,,,NA,,,,,
763,KKR/TS/763,BAJAJ ,MANISH,20/09/2022,MU/10,20/09/2022,20/11/2023,,,,,,
,,,MANISH,20/11/2023,MP/35,22/02/2024,07/04/2024,,,,,,
764,KKR/TS/764,ORTEM,,,CHP,05/10/2022,,,,,,,
765,KKR/TS/765,BAJAJ ,,,MI/16,24/09/2022,,NA,,,,,
766,KKR/TS/766,ORISON ,,,B/113,01/10/2022,,,,,,,
767,KKR/TS/767,ORISON ,,,,,,NA,,,,,
,,,PAWAN,30/05/2024,,,,,,,,,
768,KKR/TS/768,ORISON ,,,D/12,29/09/2022,,,,,,,
769,KKR/TS/769,ORISON ,,,,,,NA,,,,,
770,KKR/TS/770,CROMPTON ,,,B/309,30/09/2022,03/10/2022,,,,,,
,,,,,MC/21,03/10/2022,,,,,,,
771,KKR/TS/771,ORISON ,,,B/41,30/09/2022,,,,,,,
772,KKR/TS/772,BAJAJ ,,,B/41,30/09/2022,,,,,,,
773,KKR/TS/773,ORIENT ,MANISH,17/08/2023,MQ/29,01/10/2022,12/08/2023,,,,,,
,,,,,MADARSHA,23/08/2023,,,,,,,
774,KKR/TS/774,GEC GOLDLINE ,,,,,,NA,,,,,
775,KKR/TS/775,ORISON ,MANISH ,,MH/12,10/12/2023,,,,,,,
776,KKR/TS/776,KHAITAN,,09/12/2023,B/122,02/10/2022,28/09/2023,,,,,,
777,KKR/TS/777,ORISON ,,,BX/07,01/10/2022,,,,,,,
778,KKR/TS/778,ORISON ,,,BX/07,01/10/2022,,,,,,,
779,KKR/TS/779,ORISON ,,,BX/07,01/10/2022,,,,,,,
780,KKR/TS/780,CANON,,,B/309,03/10/2022,12/03/2023,,,,,,
,,,,,C/03,15/03/2023,,,,,,,
781,KKR/TS/781,BAJAJ ,,,C/03,06/10/2022,15/03/2023,,,,,,
,,,,,MD/38,15/04/2023,01/07/2023,,,,,,
782,KKR/TS/782,GANESH ,,,C/42,10/10/2022,,,,,,,
783,KKR/TS/783,ORIENT ,MANISH ,10/02/2023,MV/30,30/01/2023,02/02/2023,,,,,,
,,,MANISH ,28/01/2023,MG/19,13/02/2023,,,,,,,
784,KKR/TS/784,USHA (B),MANISH ,12/05/2023,,,,NA,,,,,
785,KKR/TS/785,ZOLTA ,,,,,,NA,,,,,
786,KKR/TS/786,GANESH ,,,,,,,,,,,
,,,MANISH,10/10/2022,,,,,,,,,
,,USHA,,,B/157,11/10/2022,,,,,,,
787,KKR/TS/787,USHA ,,,C/50,11/10/2022,,,,,,,
788,KKR/TS/788,ORISON ,,,MU/07,10/10/2020,11/10/2022,,,,,,
,,,MADAN JHA,20/10/2022,,,,,,,,,
,,,,,B/283,21/10/2022,,,,,,,
789,KKR/TS/789,ORISON,MANISH,13/04/2023,MJ/29,26/06/2022,,IT MAY BE BAJAJ,,,,,
790,KKR/TS/790,ORISON ,,,MJ/29,26/06/2022,,,,,,,
791,KKR/TS/791,CROMPTON ,,,MX/37,12/10/2022,,,,,,,
792,KKR/TS/792,ZOLTA ,,,,,,,,,,,
,,,MANISH,18/10/2022,,,,NA,,,,,
,,ORTEM,,,MU/09,12/10/2022,,,,,,,
793,KKR/TS/793,ZOLTA ,,,MB/25,19/10/2022,09/05/2023,,,,,,
,,,MANISH ,19/10/2022,B/297,09/05/2023,,,,,,,
794,KKR/TS/794,CROMPTON ,MANISH ,19/10/2022,MB/25,19/10/2022,23/11/2022,,,,,,
,,,,,,,,,,,,,
795,KKR/TS/795,GANESH ,,,MH/22,20/10/2022,,,,,,,
796,KKR/TS/796,CROMPTON ,,,B/137,20/10/2022,,,,,,,
797,KKR/TS/797,USHA ,MANISH,08/02/2023,B/137,20/10/2022,06/02/2023,,,,,,
,,,,,B/137,08/02/2023,,,,,,,
798,KKR/TS/798,ORIENT ,BD WINDING CUT,,,,,NA,,,,,
799,KKR/TS/799,GANESH ,,,,,,,,,,,
,,,MANISH,09/11/2022,B/241,12/12/2022,21/09/2023,,,,,,
800,KKR/TS/800,USHA (B),MADAN JHA,02/12/2022,,,,,,,02/12/2022,,
,,,MANISH,08/07/2023,MJ/17,09/07/2023,,,,,,,
,,USHA (B),MANISH,19/10/2023,MU/07,28/10/2023,,,,,,,
801,KKR/TS/801,ORISON ,OK,,MP/03,27/10/2022,10/05/2023,,,,,,
,,,MANISH,24/10/2022,MB/37,10/05/2023,10/10/2023,,,,,,
,,,PAWAN,29/05/2024,,,,,,,,,
802,KKR/TS/802,ORISON ,BD,,,,,,,,,,
,,,,,MV/28,15/11/2022,,,,,,,
803,KKR/TS/803,ORISON ,BD,,,,,,,,,,
,,,MANISH,24/11/2022,B/118,02/12/2022,05/02/2024,,,,,,
,,,,,B/297,20/02/2024,15/03/2024,,,,,,
,,,PAWAN,29/05/2024,,,,,,,,,
804,KKR/TS/804,ORISON ,BD,,,,,,,,,,
,,,,,B/129,16/11/2022,22/02/2024,,,,,,
805,KKR/TS/805,ORISON ,NEERAJ PAWAN,24/02/2024,BX/01,27/10/2022,,,,,,,
,,,MANISH,26/10/2022,,,,,,,,,
806,KKR/TS/806,ORISON ,,,MM/18,27/10/2022,29/03/2023,SHAFT CUT,,,,,
,,,MANISH,24/10/2022,,,,,,,,,
,,,MANISH,01/04/2023,MX/24,01/04/2023,17/07/2023,,,,,,
,,,MANISH,07/10/2023,MG/17,08/10/2023,,,,,,,
807,KKR/TS/807,ZOLTA,BD,,,,,NA,,,,,
808,KKR/TS/808,ORTEM,,,MW/15,20/09/2022,21/09/2022,,,,,,
,,,,,B/246,05/12/2022,,,,,,,
809,KKR/TS/809,USHA (B),BD,,,,,,,,,,
,,,MANISH,04/11/2022,,,,,,,,,
,,,MANISH,19/03/2023,,,,NA,,,,,
810,KKR/TS/810,ORISON ,BD,,,,,NA,,,,,
811,KKR/TS/811,USHA,BD,,MD/39,28/10/2022,,,,,,,
,,,MANISH,27/11/2022,,,,,,,,,
,,,MANISH,25/10/2022,,,,,,,,,
812,KKR/TS/812,USHA ,,,B/265,28/10/2022,,,,,,,
,,,MANISH,26/10/2022,,,,,,,,,
813,KKR/TS/813,GANESH (B),MANISH,12/05/2023,TS/E,12/05/2023,,,,,,,
814,KKR/TS/814,GEC GOLDLINE ,MADAN JHA,02/12/2022,,,,,,,02/12/2022,,
,,,MANISH,10/01/2023,MP/29,08/02/2023,13/06/2023,,,,,,
,,USHA,,,B/291,09/03/2024,,,,,,,
815,KKR/TS/815,CROMPTON ,,,MW/15,15/11/2022,12/05/2023,,,,,,
816,KKR/TS/816,USHA,,,B/20,01/11/2022,,,,,,,
817,KKR/TS/817,GANESH ,,,MH/23,20/10/2022,,,,,,,
818,KKR/TS/818,USHA ,,,MH/23,20/10/2022,,,,,,,
819,KKR/TS/819,USHA ,,,MH/23,20/10/2022,,,,,,,
820,KKR/TS/820,GANESH ,MADAN JHA,02/12/2022,,,,FAILED,,,02/12/2022,,21/03/2023
,,,MANISH,03/04/2023,B/202,03/04/2023,,,,,,,
821,KKR/TS/821,ORISON ,,,MB/11,21/12/2023,,,,,,,
822,KKR/TS/822,GEC GOLDLINE ,,,B/02,28/10/2022,,,,,,,
,,,MANISH,27/10/2022,,,,?,,,,,
823,KKR/TS/823,ORIENT ,,,,,,,,,,,
,,,MANISH,04/11/2022,B/213,14/11/2022,,,,,,,
824,KKR/TS/824,GEC GOLDLINE ,,,C/43,26/03/2023,,,,,,,
825,KKR/TS/825,ORISON ,MANISH,16/11/2023,MQ/01,15/11/2023,,,,,,,
826,KKR/TS/826,ORISON ,,,MB/31,07/11/2022,,?,,,,,
,,,,,MV/31,07/11/2022,,?,,,,,
827,KKR/TS/827,ORISON ,MADAN JHA,,,,,,,,02/12/2022,,
,,,MANISH,04/12/2022,MU/07,04/12/2022,,,,,,,
828,KKR/TS/828,ORISON ,MADAN JHA,02/12/2022,,,,,,,02/12/2022,,
,,,MANISH,07/12/2022,C/36,12/12/2022,,,,,,,
829,KKR/TS/829,ORTEM ,MADAN JHA,02/12/2022,MQ/19,04/02/2023,,,,,02/12/2022,,
,,,,,B/105,02/03/2024,,,,,,,
830,KKR/TS/830,USHA ,MADAN JHA,02/12/2022,,,,,,,02/12/2022,,
,,,MANISH,12/01/2023,B/136,09/02/2023,11/10/2023,,,,,,
,,,MANISH,11/10/2023,B/191,05/11/2023,,?,,,,,
831,KKR/TS/831,ORIENT ,,,,,,NA,,,,,
832,KKR/TS/832,BAJAJ ,MADAN JHA,02/12/2022,,,,,,,02/12/2022,,
,,,MANISH,11/11/2022,,,,NA,,,,,
833,KKR/TS/833,ZOLTA ,MANISH ,28/04/2023,,,,NA,,,,,
834,KKR/TS/834,ORISON ,,,,,,,,,,,
,,,MANISH,11/11/2022,MJ/03,13/11/2022,,,,,,,
,,,MANISH,05/12/2023,MC/15,22/02/2024,,,,,,,
835,KKR/TS/835,ORTEM,MANISH,31/01/2023,B/188,18/05/2023,,,,,,,
836,KKR/TS/836,USHA ,MANISH ,28/04/2023,BX/03,01/06/2023,,,,,,,
837,KKR/TS/837,BAJAJ ,,,,,,NA,,,,,
838,KKR/TS/838,ORISON ,MANISH,12/03/2023,MQ/27,13/03/2023,,,,,,,
839,KKR/TS/839,GANESH ,,,,,,NA,,,,,
840,KKR/TS/840,ORTEM ,,,,,,NA,,,,,
841,KKR/TS/841,USHA ,MANISH,12/05/2023,,,,NA,,,,,
842,KKR/TS/842, BAJAJ ,MANISH,03/07/2023,,,,NA,,,,,
843,KKR/TS/843,GEC,MANISH,27/03/2023,B/216,20/03/2023,27/03/2023,,,,,,
,,,,,GMO,28/03/2023,17/04/2023,,,,,,
844,KKR/TS/844,BAJAJ ,MANISH,20/03/2023,MD/15,23/03/2023,,,,,,,
845,KKR/TS/845,ORIENT ,,,MG/28,22/12/2023,,NA,,,,,
846,KKR/TS/846,GANESH (B),MANISH ,05/07/2023,MV/05,06/07/2023,13/12/2023,,,,,,
,,,,,MG/28,22/12/2023,,,,,,,
847,KKR/TS/847,GANESH ,MANISH ,24/03/2023,C/53,25/03/2023,,,,,,,
,,,MANISH ,01/04/2023,MX/21,05/04/2023,,,,,,,
848,KKR/TS/848,USHA ,RAHUL,01/04/2024,MV/11,19/02/2023,21/10/2023,,,,,,
849,KKR/TS/849,GANESH ,,,MC/13,10/07/2023,,,,,,,
850,KKR/TS/850,GEC,,,,,,NA,,,,,
851,KKR/TS/851,GEC,MANISH ,14/02/2023,MB/38,06/03/2023,,,,,,,
852,KKR/TS/852,ORIENT ,MANISH ,20/03/2023,MN/16,20/03/2023,,,,,,,
853,KKR/TS/853,BAJAJ ,MANISH ,13/02/2023,B/08,19/02/2023,,,,,,,
,,,,,,18/07/2023,,,,,,,
854,KKR/TS/854,GEC,MANSH,16/02/2023,,,,,,,,,
,,ORTEM,,,MV/11,19/02/2023,03/09/2023,,,,,,
855,KKR/TS/855,GANESH ,MANISH ,11/04/2023,MD/12,12/10/2023,11/05/2024,,,,,,
,,,MANISH ,10/04/2023,,,,,,,,,
856,KKR/TS/856,USHA ,MANISH ,18/03/2023,C/53,25/03/2023,,,,,,,
,,,RAHUL,01/04/2024,,,,,,,,,
857,KKR/TS/857,USHA ,MANISH ,19/03/2023,,,,NA,,,,,
858,KKR/TS/858,USHA ,MANISH ,19/03/2023,,,,NA,,,,,
859,KKR/TS/859,USHA ,MANISH ,20/03/2023,O/CLUB,18/05/2023,,,,,,,
860,KKR/TS/860,USHA (B),MANISH ,20/03/2023,,,,NA,,,,,
,,,MANISH ,29/06/2023,,,,,,,,,
861,KKR/TS/861,USHA ,MANISH ,19/03/2023,,,,,,,,,
862,KKR/TS/862,USHA ,,,MQ/35,22/07/2023,,,,,,,
,,USHA ,MANISH,10/12/2023,MH/35,14/12/2023,,?,,,,,
,,,,,,,,,,,,,
863,KKR/TS/863,ORIENT,,,MD/15,23/03/2023,,,,,,,
864,KKR/TS/864,GEC,,,,,,NA,,,,,
865,KKR/TS/865,ZOLTA ,FROM D/08,,MW/09,1909/2023,,,,,,,
866,KKR/TS/866,ZOLTA ,FROM D/08,,B/216,27/03/2023,,,,,,,
867,KKR/TS/867,ZOLTA ,FROM D/08,,,,,NA,,,,,
,,,MANISH,29/07/2023,,,,,,,,,
868,KKR/TS/868,GEC,,,,,,NA,,,,,
869,KKR/TS/869,USHA (B),FROM D/08,,,,,,,,,,
,,,MANISH,10/06/2023,B/205,10/06/2023,,,,,,,
870,KKR/TS/870,BAJAJ KISSELS,MANISH,01/04/2023,MV/06,02/04/2023,,,,,,,
,,,ML/08,,,,,,,,,,
871,KKR/TS/871,ORISON ,,,B/144,31/03/2023,,,,,,,
872,KKR/TS/872,GANESH ,ML/08,,B/144,31/03/2023,,,,,,,
873,KKR/TS/873,GANESH ,MANISH,13/04/2023,B/69,14/04/2023,,,,,,,
874,KKR/TS/874,BERLIA,MANISH,13/04/2023,MC/24,16/04/2023,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
875,KKR/TS/875,GANESH ,MANISH ,04/04/2023,MH/39,04/04/2023,26/05/2024,,,,,,
876,KKR/TS/876,GANESH ,,,,,,NA,,,,,
877,KKR/TS/877,ORISON ,,,B/264,10/04/2023,25/08/2023,,,,,,
,,,,,B/253,25/08/2023,,,,,,,
878,KKR/TS/878,ORISON ,,,ME/06,14/04/2023,,,,,,,
879,KKR/TS/879,ORTEM ,BD,,,,,,,,,,
,,,MANISH ,07/04/2023,,,,NA,,,,,
880,KKR/TS/880,BAJAJ ,PAWAN,11/03/2024,,,,NA,,,,,
881,KKR/TS/881,BAJAJ ,MA/28,,MH/03,07/06/2023,07/12/2023,,,,,,
,,,,,MB/28,29/03/2024,,,,,,,
882,KKR/TS/882,BAJAJ ,MA/28,,MV/13,19/07/2023,30/11/2023,,,,,,
,,,,,MG/39,22/07/2023,,,,,,,
883,KKR/TS/883,USHA ,MANISH ,09/04/2023,,,,,,,,,
,,,MANISH ,30/10/2023,B/126,22/03/2024,28/03/2024,,,,,,
,,,,,B/12,02/04/2024,,,,,,,
884,KKR/TS/884,BAJAJ ,,,B/290,11/04/2023,,,,,,,
885,KKR/TS/885,GEC,MANISH,13/04/2023,,,,NA,,,,,
,,ORISON ,MANISH,11/04/2023,B/115,12/04/2023,,,,,,,
,,,,,,,,,,,,,
886,KKR/TS/886,ORIENT ,MANISH,13/04/2023,,,,NA,,,,,
887,KKR/TS/887,BAJAJ ,,BIRENDRA KUSHWAHA ,,,,NA,,,,,
888,KKR/TS/888,ORISON ,,,,,,NA,,,,,
889,KKR/TS/889,ORISON ,MB/11,,MI/25,23/04/2023,,,,,,,
890,KKR/TS/890,ORISON ,MB/11,,,,,NA,,,,,
,,BAJAJ ,,,,,,NA,,,,,
891,KKR/TS/891,ORTEM ,MB/11,,MW/10,23/04/2023,,,,,,,
892,KKR/TS/892,BAJAJ ,MANISH,25/04/2023,MH/13,26/04/2023,26/04/2023,,,,,,
,,,,,,,,,,,,,
893,KKR/TS/893,USHA (B),MANISH ,27/04/2023,B/138,20/10/2023,,,,,,,
,,,MANISH ,19/10/2023,,,,,,,,,
894,KKR/TS/894,ORIENT ,,,,,,NA,,,,,
895,KKR/TS/895,ORTEM,MANISH ,15/05/2023,,,,NA,,,,,
896,KKR/TS/896,ORISON ,MANISH ,15/05/2023,B/304,16/05/2023,,,,,,,
897,KKR/TS/897,ORISON ,MANISH ,15/05/2023,B/186,23/03/2024,,,,,,,
,,ORISON ,,,C/35,15/05/2023,,,,,,,
898,KKR/TS/898,CROMPTON ,MANISH ,20/05/2023,MP/22,20/05/2023,,,,,,,
899,KKR/TS/899,ORISON ,MANISH ,20/05/2023,B/115,20/05/2023,,,,,,,
900,KKR/TS/900,ORISON ,MANISH ,20/05/2023,B/295,20/05/2023,,,,,,,
901,KKR/TS/901,TATA,MANISH ,25/05/2023,,,,NA,,,,,
,,ACTION,,,MF/03,20/05/2023,25/05/2024,,,,,,
,,GANESH,,,ML/23,15/08/2023,,,,,,,
902,KKR/TS/902,BAJAJ ,MANISH ,27/05/2023,B/87,26/05/2023,,,,,,,
903,KKR/TS/903,KHAITAN ,MANISH ,27/05/2023,C/09,25/06/2023,,,,,,,
904,KKR/TS/904,ORISON ,MD/24,30/05/2023,B/296,30/05/2023,,,,,,,
,,ORTEM,,,MG/38,,29/07/2023,,,,,,
905,KKR/TS/905,ORISON ,MD/24,30/05/2023,,,,,,,,,
,,,MANISH ,08/06/2023,,,,,,,,,
906,KKR/TS/906,ORIENT ,,,MW/33,01/06/2023,,,,,,,
907,KKR/TS/907,USHA ,,,MW/33,01/06/2023,,,,,,,
908,KKR/TS/908,GANESH ,MH/17,01/06/2023,MD/28,01/06/2023,,,,,,,
909,KKR/TS/909,BAJAJ ,B/302,,,,,NA,,,,,
910,KKR/TS/910,ORISON ,,,,,,NA,,,,,
911,KKR/TS/911,BAJAJ ,MANISH ,09/10/2023,,,,NA,,,,,
912,KKR/TS/912,ORISON ,MANISH ,01/06/2023,,,,NA,,,,,
,,KHAITAN ,MANISH ,01/06/2023,,,,NA,,,,,
913,KKR/TS/913,KHAITAN ,MANISH ,01/06/2023,,,,NA,,,,,
914,KKR/TS/914,GEC ,,,MC/17,22/04/2023,,NA,,,,,
915,KKR/TS/915,EAKTA,MANISH ,02/06/2023,MC/17,02/06/2023,,,,,,,
